"ticker", "cfo_name", "first_call_date", "last_call_date", "total_calls"
"MDU-N", "Vern-Raile", "2004-07-21", "2009-10-30", "15"
"MDXG-OQ", "Warren-Robinson", "2004-01-22", "2005-10-20", "6"
"MEAD-OxI13", "Mike-Senken", "2010-07-23", "2015-10-29", "15"
"MEAD-OxI13", "Brent-Christensen", "2004-04-22", "2007-01-04", "7"
"MEAS-OxJ14", "Paul-Ross", "2007-05-24", "2008-10-20", "6"
"MEAS-OxJ14", "Frank-Guidone", "2005-06-14", "2005-06-14", "1"
"MEAS-OxJ14", "John-Hopkins", "2006-06-19", "2006-06-19", "1"
"MED-N", "Mark-Thomson", "2007-08-09", "2013-11-07", "25"
"MED-N", "Brendan-Connors", "2010-08-05", "2012-11-05", "9"
"MED-N", "Mike-McDevitt", "2006-08-14", "2011-03-31", "5"
"MEDQE-OQxF04", "Timothy-Robinson", "2013-05-08", "2015-11-05", "11"
"MEI-N", "Tony-James", "2011-03-16", "2011-03-16", "1"
"MEIQL-PKxC11", "Doug-Koman", "2004-06-24", "2015-12-10", "41"
"MEIQL-PKxC11", "John-Karnes", "2006-11-10", "2009-08-07", "9"
"MEND-OxI10", "Rick-Lester", "2006-04-04", "2006-08-08", "3"
"MEND-OxI10", "Bob-Stern", "2006-11-13", "2007-08-07", "4"
"MENT-OxC17", "Gordon-Sangster", "2008-02-07", "2010-05-06", "10"
"MENT-OxC17", "Greg-Hinckley", "2006-04-26", "2012-05-25", "2"
"MERDJ-PKxB11", "Maria-Pope", "2007-08-23", "2008-11-19", "5"
"MERDJ-PKxB11", "Ahmass-Fakahany", "2004-01-21", "2005-01-25", "5"
"MERDJ-PKxB11", "Jeff-Edwards", "2005-04-19", "2007-10-24", "11"
"MERQE-OQxA06", "Nelson-Chai", "2008-01-17", "2008-10-16", "4"
"MERQE-OQxA06", "David-Murphy", "2005-11-02", "2005-11-02", "1"
"MESAQ-PKxC11", "Doug-Smith", "2004-01-21", "2005-07-28", "7"
"MESG-OxH16", "Peter-Murnane", "2004-07-28", "2007-08-01", "9"
"MET-N", "Tom-Sabol", "2013-12-12", "2013-12-12", "1"
"MET-N", "Bill-Wheeler", "2004-02-11", "2011-10-28", "32"
"MET-N", "Charlie-Symington", "2004-10-28", "2004-10-28", "1"
"MET-N", "Eric-Steigerwalt", "2012-02-15", "2012-08-02", "3"
"MET-N", "John-Hele", "2012-11-01", "2015-11-05", "12"
"MET-N", "Stan-Talbi", "2004-05-04", "2004-10-28", "3"
"MFBxJ13", "Tim-Schmidt", "2007-08-01", "2007-08-01", "1"
"MFBxJ13", "Chris-Vieth", "2008-08-06", "2013-05-08", "20"
"MFRM-OxI16", "Dorvin-Lively", "2005-11-10", "2008-03-05", "10"
"MGI-OQ", "Jim-Black", "2013-12-04", "2013-12-04", "1"
"MGI-OQ", "Alex-Holmes", "2012-04-26", "2013-10-24", "7"
"MGI-OQ", "Dave-Parrin", "2004-07-29", "2009-02-26", "16"
"MGI-OQ", "Jeff-Woods", "2009-10-30", "2009-10-30", "1"
"MGLN-OQ", "Jim-Shield", "2010-07-30", "2012-02-03", "7"
"MGLN-OQ", "Jon-Rubin", "2008-10-31", "2015-10-27", "29"
"MGLN-OQ", "Mark-Demilio", "2004-03-30", "2008-07-31", "19"
"MGM-N", "Rene-Lerer", "2007-11-02", "2007-11-02", "1"
"MGM-N", "Chris-Nordling", "2012-10-31", "2012-10-31", "1"
"MGM-N", "Dan-DArrigo", "2007-10-30", "2013-10-31", "25"
"MGM-N", "Glenn-Schaeffer", "2004-03-04", "2004-12-02", "4"
"MHK-N", "Jim-Murren", "2004-01-28", "2007-08-02", "15"
"MHK-N", "Frank-Boykin", "2005-02-16", "2015-11-06", "44"
"MHO-N", "John-Swift", "2004-02-06", "2004-10-21", "4"
"MHS-NxD12", "Phil-Creek", "2004-02-05", "2015-10-22", "47"
"MHS-NxD12", "JoAnn-Reed", "2004-02-12", "2008-02-19", "16"
"MHS-NxD12", "Joel-Kimbrough", "2004-02-02", "2005-01-31", "5"
"MIGxG15", "Rich-Rubino", "2008-04-29", "2012-02-21", "15"
"MIGxG15", "Erin-West", "2006-03-01", "2006-03-01", "1"
"MIK-NxK06", "Karen-Spaun", "2004-02-17", "2013-11-06", "30"
"MIK-NxK06", "Chuck-Sonsteby", "2010-11-18", "2015-06-04", "10"
"MIK-NxK06", "Elaine-Crowley", "2008-12-02", "2010-05-27", "7"
"MILLQ-PKxC16", "Jeff-Boyer", "2004-03-03", "2007-11-29", "15"
"MILxG10", "David-Voyticky", "2013-12-12", "2013-12-12", "1"
"MILxG10", "Charlie-Wagner", "2007-11-01", "2010-02-02", "10"
"MIND-OQ", "Kathy-Allen", "2004-01-26", "2007-07-31", "15"
"MINI-OQ", "Rob-Capps", "2013-12-11", "2013-12-11", "1"
"MINI-OQ", "Larry-Trachtenberg", "2004-02-26", "2008-11-03", "19"
"MJN-N", "Mark-Funk", "2009-02-26", "2015-10-22", "28"
"MJN-N", "Charles-Urbain", "2015-04-23", "2015-07-23", "2"
"MKC-N", "Pete-Leemputte", "2009-04-28", "2015-01-29", "24"
"MKC-N", "David-Nelson", "2004-06-29", "2004-06-29", "1"
"MKC-N", "Frank-Contino", "2004-01-28", "2007-09-27", "12"
"MKC-N", "Gordon-Stetz", "2008-01-23", "2015-10-01", "31"
"MKSI-OQ", "Mike-Smith", "2015-10-01", "2015-10-01", "1"
"MKSI-OQ", "Ron-Weigner", "2004-02-03", "2010-02-04", "25"
"MKTX-OQ", "Seth-Bagshaw", "2010-07-21", "2015-10-22", "21"
"MKTX-OQ", "Jim-Rucker", "2005-02-09", "2010-02-03", "19"
"MLHR-OQ", "Tony-DeLise", "2010-04-28", "2015-10-21", "23"
"MLHR-OQ", "Beth-Nickels", "2004-03-18", "2007-06-28", "14"
"MLHR-OQ", "Curt-Pullen", "2007-06-28", "2008-12-18", "7"
"MLHR-OQ", "Greg-Bylsma", "2009-03-19", "2014-12-18", "24"
"MLM-N", "Jeff-Stutz", "2015-03-19", "2015-12-17", "4"
"MLM-N", "Anne-Lloyd", "2005-08-01", "2015-11-03", "36"
"MLNK-OQ", "Janice-Henry", "2004-02-04", "2005-05-02", "5"
"MLNK-OQ", "David-Riley", "2006-10-10", "2007-02-26", "3"
"MLNK-OQ", "Steven-Crane", "2007-06-05", "2013-03-07", "17"
"MMC-N", "Tom-Oberdorf", "2004-03-08", "2006-06-05", "8"
"MMC-N", "Matthew-Bartley", "2006-11-01", "2008-08-06", "8"
"MMC-N", "Michele-Burns", "2006-05-03", "2006-08-03", "2"
"MMC-N", "Mike-Bischoff", "2012-05-01", "2015-10-27", "15"
"MMC-N", "Sandra-Wijnberg", "2004-07-28", "2006-02-14", "7"
"MMIxE12", "Vanessa-Wittman", "2008-11-05", "2012-02-14", "13"
"MMM-N", "Marc-Rothman", "2011-01-26", "2011-07-28", "3"
"MMM-N", "David-Meline", "2011-04-26", "2014-04-24", "13"
"MMM-N", "Fred-Flynn", "2004-02-20", "2005-05-26", "6"
"MMM-N", "Nick-Gangestad", "2014-07-24", "2015-10-22", "6"
"MMS-N", "Pat-Campbell", "2004-01-20", "2011-01-25", "29"
"MMS-N", "Dave-Walker", "2006-05-04", "2014-05-08", "32"
"MMS-N", "Rich-Montoni", "2004-02-05", "2006-02-02", "9"
"MMSI-OQ", "Rick-Nadeau", "2014-08-07", "2015-11-12", "6"
"MNK-N", "Kent-W-Stanger", "2005-07-26", "2015-10-22", "40"
"MNRO-OQ", "Matt-Harbaugh", "2014-05-08", "2014-05-08", "1"
