"ticker", "cfo_name", "first_call_date", "last_call_date", "total_calls"
"A-N", "Adrian-Dillon", "2004-02-17", "2010-02-12", "25"
"A-N", "Didier-Hirsch", "2010-05-17", "2015-11-16", "23"
"AABA-OQ", "Neil-Dougherty", "2014-08-14", "2014-08-14", "1"
"AABA-OQ", "Blake-Jorgensen", "2007-07-17", "2009-04-21", "8"
"AABA-OQ", "Ken-Goldman", "2012-10-22", "2013-10-15", "5"
"AABA-OQ", "Susan-Decker", "2004-01-14", "2007-07-17", "14"
"AAL-OQ", "Tim-Morse", "2009-07-21", "2012-07-17", "13"
"AAL-OQ", "Bella-Goren", "2010-10-20", "2011-10-19", "5"
"AAL-OQ", "Derek-Kerr", "2014-01-28", "2015-10-23", "8"
"AAL-OQ", "James-Beer", "2004-01-21", "2006-01-18", "8"
"AAN-N", "Tom-Horton", "2006-04-19", "2010-04-21", "17"
"AAN-N", "Dave-Buck", "2014-02-07", "2014-02-07", "1"
"AAOI-OQ", "Gilbert-Danielson", "2004-02-25", "2015-10-30", "46"
"AAOI-OQ", "James-Dunn", "2013-11-07", "2014-05-08", "3"
"AAON-OQ", "Stefan-Murry", "2014-11-10", "2015-08-05", "4"
"AAON-OQ", "Kathy-Sheffield", "2004-02-11", "2012-08-08", "27"
"AAP-N", "Scott-Asbjornson", "2012-11-08", "2012-11-08", "1"
"AAP-N", "Jeff-Gray", "2004-02-18", "2005-11-03", "8"
"AAP-N", "Michael-Moore", "2006-02-16", "2007-11-01", "7"
"AAPL-OQ", "Mike-Norona", "2008-02-14", "2015-11-12", "32"
"AAPL-OQ", "Fred-Anderson", "2004-01-14", "2004-01-14", "1"
"AAPL-OQ", "Luca-Maestri", "2014-07-22", "2015-10-27", "6"
"AAT-N", "Peter-Oppenheimer", "2004-07-14", "2014-01-27", "38"
"AAWW-OQ", "Bob-Barton", "2011-05-11", "2015-11-04", "18"
"AAWW-OQ", "Jason-Grant", "2007-11-08", "2010-05-05", "11"
"AAWW-OQ", "Mike-Barna", "2005-09-22", "2007-08-08", "9"
"AAXN-OQ", "Spencer-Schwartz", "2010-08-03", "2015-11-05", "21"
"AAXN-OQ", "Dan-Behrendt", "2004-10-19", "2015-11-03", "38"
"ABAX-OQ", "Kathy-Hanrahan", "2004-02-03", "2004-02-03", "1"
"ABAX-OQ", "Alberto-Santa-Ines", "2004-07-22", "2015-04-30", "35"
"ABBN-S", "Ross-Taylor", "2015-07-23", "2015-10-27", "2"
"ABBV-N", "Eric-Elzvik", "2013-04-22", "2013-04-22", "1"
"ABC-N", "Bill-Chase", "2013-04-26", "2015-10-30", "9"
"ABC-N", "Mike-DiCandilo", "2004-04-26", "2012-01-26", "30"
"ABCB-OQ", "Tim-Guttman", "2012-04-26", "2015-10-29", "15"
"ABCW-OxE16", "Dennis-Zember", "2015-07-24", "2015-10-23", "2"
"ABG-N", "Bill-James", "2015-07-31", "2015-07-31", "1"
"ABG-N", "Craig-Monahan", "2008-07-30", "2011-04-27", "10"
"ABG-N", "Gordon-Smith", "2004-07-29", "2008-04-24", "14"
"ABG-N", "Keith-Style", "2014-02-04", "2015-10-21", "8"
"ABM-N", "Scott-Krenz", "2011-10-26", "2013-10-22", "9"
"ABM-N", "Anthony-Scaglione", "2015-06-03", "2015-12-09", "3"
"ABM-N", "George-Sundby", "2004-03-10", "2007-12-12", "14"
"ABM-N", "Jim-Lusk", "2008-06-03", "2015-03-04", "24"
"ABMD-OQ", "Joe-Franz", "2010-12-16", "2010-12-16", "1"
"ABMD-OQ", "Bob-Bowen", "2009-02-05", "2015-05-05", "25"
"ABMD-OQ", "Dan-Sutherby", "2006-02-02", "2008-08-07", "10"
"ABT-N", "Mike-Tomsicek", "2015-08-04", "2015-10-29", "2"
"ABT-N", "Brian-Yoor", "2015-07-22", "2015-10-21", "2"
"ABVT-KxG12", "Tom-Freyman", "2004-01-16", "2015-04-22", "47"
"ACAT-OxC17", "Joe-Ciavarella", "2009-05-12", "2012-02-28", "10"
"ACC-N", "Tim-Delmore", "2004-05-13", "2013-10-24", "37"
"ACC-N", "Brian-Nickel", "2005-11-01", "2007-10-31", "9"
"ACC-N", "Jon-Graf", "2008-08-05", "2014-02-13", "12"
"ACET-OQ", "Mark-Hager", "2004-11-11", "2004-11-11", "1"
"ACHC-OQ", "Douglas-Roth", "2004-09-10", "2015-09-11", "36"
"ACHC-OQ", "David-Duckworth", "2012-08-01", "2015-08-05", "10"
"ACHC-OQ", "Jack-Polson", "2012-03-08", "2012-04-27", "2"
"ACIW-OQ", "Paula-Wurts", "2005-11-14", "2011-05-10", "13"
"ACIW-OQ", "David-Bankhead", "2004-01-27", "2006-07-25", "10"
"ACIW-OQ", "Henry-Lyons", "2006-11-15", "2008-02-19", "5"
"ACLS-OQ", "Scott-Behrens", "2008-05-08", "2015-11-05", "30"
"ACLS-OQ", "Jay-Zager", "2011-04-27", "2012-11-01", "7"
"ACLS-OQ", "Kevin-Brewer", "2013-08-01", "2013-11-06", "2"
"ACM-N", "Stephen-Bassett", "2004-01-28", "2011-02-01", "24"
"ACM-N", "Mike-Burke", "2007-08-08", "2011-08-04", "17"
"ACM-N", "Steve-Kadenacy", "2011-11-10", "2015-08-11", "16"
"ACO-NxE14", "Troy-Rudd", "2015-11-10", "2015-11-10", "1"
"ACO-NxE14", "Don-Pearson", "2008-07-18", "2013-10-25", "22"
"ACOR-OQ", "Gary-Castagna", "2004-01-20", "2008-04-18", "17"
"ACOR-OQ", "David-Lawrence", "2006-03-31", "2013-02-13", "22"
"ACSxB10", "Mike-Rogers", "2013-10-31", "2015-10-22", "8"
"ACSxB10", "John-Rexford", "2007-02-13", "2007-08-21", "3"
"ACSxB10", "Kevin-Kyser", "2007-11-01", "2009-08-06", "7"
"ACSxB10", "Richard-Sorensen", "2004-02-20", "2004-10-29", "3"
"ACTL-OxK10", "Warren-Edwards", "2004-01-20", "2006-08-09", "11"
"ACTL-OxK10", "Dirk-Sodestrom", "2009-04-28", "2009-07-28", "2"
"ACTL-OxK10", "Jon-Anderson", "2004-04-23", "2008-10-28", "18"
"ACV-NxK06", "Maurice-Carson", "2009-10-27", "2010-07-29", "4"
"ACV-NxK06", "Bill-Cernugel", "2004-04-22", "2007-01-25", "9"
"ACXM-OQ", "Ralph-Nicoletti", "2007-04-30", "2010-07-26", "14"
"ACXM-OQ", "Chris-Wolf", "2007-10-24", "2011-05-11", "15"
"ACXM-OQ", "David-Oppenheimer", "2004-01-27", "2004-10-21", "4"
"ACXM-OQ", "Frank-Cotroneo", "2006-05-17", "2007-01-24", "4"
"ACXM-OQ", "Roger-Kline", "2005-07-20", "2007-05-16", "2"
"ADBE-OQ", "Warren-Jenson", "2012-01-31", "2015-11-04", "15"
"ADBE-OQ", "Betsey-Nelson", "2004-01-21", "2005-10-24", "8"
"ADBE-OQ", "Bruce-Chizen", "2006-12-14", "2006-12-14", "1"
"ADBE-OQ", "Mark-Garrett", "2007-03-20", "2015-12-10", "36"
"ADBE-OQ", "Murray-Demo", "2004-03-18", "2006-06-15", "10"
"ADC-N", "Randy-Furr", "2006-06-15", "2006-09-14", "2"
"ADC-N", "Al-Maximiuk", "2013-02-28", "2013-04-30", "2"
"ADCT-OQxL10", "Brian-Dickman", "2014-02-25", "2015-07-28", "5"
"ADI-OQ", "Gokul-Hemmady", "2006-05-31", "2006-05-31", "1"
"ADI-OQ", "Dave-Zinsner", "2009-02-18", "2015-11-24", "28"
"ADM-N", "Joe-McDonough", "2004-02-12", "2008-11-24", "21"
"ADM-N", "Doug-Schmalz", "2004-01-30", "2007-11-06", "16"
"ADM-N", "Ray-Young", "2011-02-01", "2015-11-03", "20"
"ADP-OQ", "Steven-Mills", "2008-04-29", "2010-11-02", "11"
"ADP-OQ", "Chris-Reidy", "2006-10-31", "2012-11-01", "25"
"ADP-OQ", "Jan-Siegmund", "2013-02-05", "2015-10-28", "11"
"ADPTQ-PK", "Karen-E-Dykstra", "2004-01-22", "2006-01-25", "9"
"ADS-N", "Tim-Fielding", "2015-10-22", "2015-10-22", "1"
"ADS-N", "Charles-Horn", "2010-02-02", "2015-10-22", "23"
"ADS-N", "Ed-Heffernan", "2004-01-28", "2009-02-03", "18"
"ADSK-OQ", "Mike-Kubic", "2009-10-21", "2009-10-21", "1"
"ADSK-OQ", "Al-Castino", "2004-02-26", "2008-05-15", "19"
"ADSK-OQ", "Christopher-L-Gorgone", "2005-08-11", "2007-05-10", "4"
"ADSK-OQ", "Mark-Hawkins", "2009-05-21", "2014-05-15", "21"
"ADSK-OQ", "Scott-Herren", "2014-11-20", "2015-11-19", "5"
"ADTN-OQ", "Suzanne-MacCormack", "2004-01-26", "2005-01-27", "5"
"ADTN-OQ", "James-Matthews", "2004-01-21", "2015-01-21", "45"
"ADTxE16", "Mike-Foliano", "2015-04-22", "2015-10-14", "3"
"ADTxE16", "Kathy-Mikells", "2012-11-27", "2013-05-01", "3"
"ADVS-OxG15", "Michael-Geltzeiler", "2013-11-20", "2013-11-20", "1"
"ADVS-OxG15", "Craig-Collins", "2008-02-05", "2008-04-29", "2"
"ADVS-OxG15", "Graham-Smith", "2004-01-29", "2007-10-24", "16"
"ADVS-OxG15", "Jim-Cox", "2010-04-28", "2013-10-28", "15"
"AECxH15", "Stephanie-DiMarco", "2009-02-03", "2009-07-28", "3"
"AEE-N", "Lou-Fatica", "2006-02-09", "2013-10-23", "29"
"AEE-N", "Marty-Lyons", "2009-05-01", "2015-11-06", "25"
"AEGN-OQ", "Warner-Baxter", "2004-02-10", "2008-11-04", "20"
"AEGN-OQ", "Chris-Farman", "2004-03-16", "2005-08-03", "6"
"AEIS-OQ", "David-Martin", "2007-10-25", "2015-11-03", "31"
"AEIS-OQ", "Danny-Herron", "2010-11-01", "2015-02-03", "17"
"AEIS-OQ", "Larry-Firestone", "2006-10-25", "2010-07-22", "17"
"AEIS-OQ", "Mike-El-Hillow", "2004-02-12", "2005-10-19", "7"
"AEL-N", "Tom-Liguori", "2015-08-04", "2015-11-03", "2"
"AEL-N", "John-Matovina", "2009-02-26", "2012-05-03", "13"
"AEL-N", "Ted-Johnson", "2012-08-03", "2015-11-05", "12"
"AEO-N", "Wendy-Carlson", "2004-04-26", "2008-11-06", "16"
"AEO-N", "Joan-Hilson", "2006-05-16", "2012-03-07", "24"
"AEO-N", "Laura-Weil", "2004-02-26", "2005-08-16", "6"
"AEP-N", "Mary-Boland", "2012-08-22", "2015-12-02", "10"
"AEP-N", "Brian-Tierney", "2010-01-28", "2015-10-22", "22"
"AEP-N", "Holly-Koeppel", "2006-10-31", "2009-07-31", "12"
"AERI-OQ", "Susan-Tomasky", "2004-02-03", "2006-07-27", "11"
"AES-N", "Richard-Rubino", "2013-12-04", "2013-12-04", "1"
"AES-N", "Barry-Sharp", "2004-02-05", "2005-05-05", "6"
"AES-N", "Mary-Wood", "2012-08-06", "2012-08-06", "1"
"AES-N", "Tom-OFlynn", "2012-11-07", "2015-11-05", "12"
"AET-N", "Victoria-Harker", "2006-04-06", "2012-05-04", "24"
"AET-N", "Alan-Bennett", "2004-02-12", "2007-02-08", "14"
"AET-N", "Bill-McManaman", "2004-05-03", "2004-11-01", "3"
"AET-N", "Dale-Wolf", "2004-02-03", "2004-07-26", "3"
"AET-N", "Joe-Whitters", "2004-02-17", "2004-02-17", "1"
"AET-N", "Joe-Zubretsky", "2007-07-26", "2013-01-31", "23"
"AET-N", "John-Stelben", "2010-02-09", "2011-04-29", "6"
"AET-N", "Randy-Giles", "2011-07-29", "2012-07-27", "5"
"AF-N", "Shawn-Guertin", "2005-02-22", "2015-10-29", "31"
"AF-N", "Frank-Fusco", "2007-10-18", "2015-07-23", "25"
"AFAM-OQ", "Monte-Redman", "2004-01-22", "2007-07-19", "16"
"AFFX-OxD16", "Steve-Guenthner", "2009-03-04", "2012-08-08", "14"
"AFFX-OxD16", "Gavin-Wood", "2013-07-31", "2013-10-30", "2"
"AFFX-OxD16", "Greg-Schiffman", "2004-01-28", "2006-10-25", "12"
"AFFX-OxD16", "John-Batty", "2007-07-25", "2010-02-03", "11"
"AFG-N", "Tim-Barabe", "2010-04-21", "2013-04-30", "13"
"AFG-N", "Jeff-Consolino", "2013-10-30", "2015-11-04", "9"
"AFL-N", "Keith-Jensen", "2005-02-10", "2013-02-12", "20"
"AFL-N", "Fred-Crawford", "2015-07-29", "2015-10-28", "2"
"AFL-N", "Ken-Janke", "2010-10-27", "2015-04-29", "15"
"AGCO-N", "Kriss-Cloninger", "2004-02-04", "2015-04-29", "46"
"AGL-NxH08", "Andy-Beck", "2004-02-05", "2015-10-28", "45"
"AGPxL12", "Jim-Shaffer", "2004-03-18", "2008-04-09", "14"
"AGPxL12", "Jim-Truess", "2006-07-27", "2012-05-02", "24"
"AGPxL12", "Paul-Dunn", "2005-02-17", "2005-10-28", "4"
"AGYS-OQ", "Sherri-Lee", "2006-02-16", "2006-04-28", "2"
"AGYS-OQ", "Henry-Bond", "2011-06-14", "2011-08-09", "2"
"AGYS-OQ", "Janine-Seebeck", "2013-11-07", "2015-11-04", "4"
"AGYS-OQ", "Ken-Kossin", "2009-06-05", "2010-08-04", "5"
"AGYS-OQ", "Martin-Ellis", "2007-05-25", "2008-08-07", "3"
"AHC-N", "Robb-Ellis", "2011-11-09", "2013-07-25", "6"
"AHG-NxJ08", "Alison-Engel", "2008-10-31", "2013-11-04", "19"
"AHG-NxJ08", "Alicia-Price", "2006-10-26", "2006-10-26", "1"
"AHG-NxJ08", "Amin-Khalifa", "2004-04-22", "2006-07-27", "10"
"AIG-N", "Chris-Karkenny", "2007-02-07", "2008-09-12", "6"
"AIG-N", "Alan-Lund", "2006-05-11", "2008-08-07", "4"
"AIG-N", "Chris-Swift", "2006-03-17", "2008-11-10", "8"
"AIG-N", "David-Herzog", "2008-11-10", "2015-11-03", "22"
"AIG-N", "Elias-Habayeb", "2008-08-07", "2009-05-07", "3"
"AIG-N", "James-Bracken", "2012-08-03", "2014-02-14", "3"
"AIG-N", "Jeff-Farber", "2013-05-03", "2013-05-03", "1"
"AIG-N", "Mary-Jane-Fortin", "2013-11-01", "2013-11-01", "1"
"AIG-N", "Rob-Schimek", "2011-02-25", "2012-02-24", "4"
"AIN-N", "Steve-Bensinger", "2005-08-10", "2008-08-07", "12"
"AIN-N", "John-Cozzolino", "2010-11-04", "2015-10-28", "16"
"AIN-N", "Michael-Burke", "2009-11-03", "2010-08-05", "4"
"AINV-OQ", "Michael-Nahl", "2004-04-26", "2009-08-04", "21"
"AINV-OQ", "Gene-Donelly", "2012-02-08", "2012-05-23", "2"
"AINV-OQ", "Greg-Hunt", "2012-08-08", "2013-11-08", "5"
"AIR-N", "Rich-Peteka", "2007-02-08", "2011-08-04", "18"
"AIR-N", "John-Fortson", "2013-09-24", "2015-09-24", "8"
"AIR-N", "Mike-Sharp", "2012-12-18", "2013-07-25", "3"
"AIR-N", "Rick-Poulton", "2007-07-11", "2012-09-20", "22"
"AIRM-OxD17", "Timothy-Romenesko", "2004-03-17", "2007-03-21", "12"
"AIT-N", "Trent-Carman", "2007-03-08", "2013-11-07", "28"
"AIV-N", "Mark-Eisele", "2004-01-13", "2015-10-28", "48"
"AIV-N", "David-Robertson", "2009-05-01", "2009-10-30", "2"
"AIV-N", "Ernie-Friedman", "2009-05-01", "2015-07-31", "24"
"AIV-N", "Paul-Beldin", "2015-11-04", "2015-11-04", "1"
"AIV-N", "Paul-McAuliffe", "2004-02-13", "2005-11-01", "7"
"AIV-N", "Rob-Walker", "2009-07-31", "2009-07-31", "1"
"AIZ-N", "Tom-Herzog", "2006-02-09", "2009-02-06", "13"
"AIZ-N", "Chis-Pagano", "2014-10-30", "2015-10-28", "5"
"AIZ-N", "Mike-Peninger", "2007-08-02", "2014-07-24", "29"
"AIZ-N", "Philip-Bruce-Camacho", "2005-08-04", "2007-05-03", "7"
"AJG-N", "Robert-Pollock", "2004-05-12", "2005-05-05", "3"
"AKAM-OQ", "Doug-Howell", "2004-01-28", "2015-10-28", "46"
"AKAM-OQ", "Bob-Cobuzzi", "2004-02-04", "2005-10-25", "8"
"AKAM-OQ", "JD-Sherman", "2006-02-08", "2012-02-08", "27"
"AKR-N", "Jim-Benson", "2012-04-25", "2015-10-27", "15"
"AKR-N", "Jon-Grisham", "2010-07-28", "2015-11-04", "14"
"AKRX-OQ", "Mike-Nelsen", "2004-04-23", "2010-07-28", "20"
"AKRX-OQ", "Jeff-Whitnell", "2006-10-30", "2008-11-03", "7"
"AKS-N", "Tim-Dick", "2009-08-11", "2015-02-26", "23"
"AKS-N", "Albert-Ferrara", "2004-01-30", "2012-04-24", "33"
"ALB-N", "Roger-Newport", "2012-10-23", "2015-10-27", "13"
"ALB-N", "Paul-Rocheleau", "2004-01-29", "2005-07-20", "7"
"ALB-N", "Richard-Diemer", "2005-10-25", "2010-07-27", "20"
"ALB-N", "Richard-Fishman", "2011-01-25", "2011-01-25", "1"
"ALBO-OQ", "Scott-Tozier", "2011-04-20", "2015-11-05", "18"
"ALE-N", "Gerard-Michel", "2013-12-18", "2013-12-18", "1"
"ALE-N", "Cam-Hitchcock", "2004-04-22", "2004-07-21", "2"
"ALE-N", "Jim-Vizanko", "2004-04-22", "2006-05-05", "9"
"ALE-N", "Mark-Schober", "2006-07-28", "2014-02-14", "30"
"ALEX-N", "Steve-DeVinck", "2014-02-14", "2015-11-03", "8"
"ALEX-N", "Chris-Benjamin", "2004-04-23", "2011-08-08", "27"
"ALEX-N", "Jim-Andrasick", "2004-01-23", "2004-01-23", "1"
"ALEX-N", "Joel-Wine", "2012-02-13", "2012-05-09", "2"
"ALG-N", "Paul-Ito", "2012-08-01", "2015-11-05", "12"
"ALGN-OQ", "Dan-Malone", "2015-03-05", "2015-05-07", "2"
"ALGN-OQ", "David-White", "2013-10-17", "2015-10-22", "9"
"ALGN-OQ", "Eldon-Bullington", "2004-04-22", "2007-10-24", "15"
"ALGN-OQ", "Ken-Arola", "2008-01-29", "2013-01-30", "21"
"ALGT-OQ", "Roger-George", "2013-04-18", "2013-07-18", "2"
"ALGT-OQ", "Andrew-Levy", "2007-10-30", "2011-08-01", "14"
"ALK-N", "Scott-Sheldon", "2010-10-27", "2015-10-21", "21"
"ALK-N", "Brad-Tilden", "2004-01-28", "2008-10-23", "17"
"ALK-N", "Brandon-Peterson", "2009-04-23", "2015-10-22", "23"
"ALK-N", "Glenn-Johnson", "2009-01-29", "2010-10-21", "7"
"ALL-N", "Jeff-Pinneo", "2008-07-24", "2008-07-24", "1"
"ALL-N", "Dan-Hale", "2004-02-05", "2008-01-30", "17"
"ALL-N", "Don-Civgin", "2008-10-23", "2011-02-10", "10"
"ALL-N", "Sam-Pilch", "2008-04-24", "2008-07-24", "2"
"ALOG-OQ", "Steve-Shebik", "2012-05-03", "2015-08-04", "10"
"ALOG-OQ", "John-Millerick", "2004-03-12", "2009-06-04", "22"
"ALOG-OQ", "Michael-Bourque", "2015-09-16", "2015-09-16", "1"
"ALOT-OQ", "Mike-Levitz", "2009-09-24", "2015-03-10", "22"
"ALTEO-PKxD08", "Joe-OConnell", "2013-11-27", "2013-11-27", "1"
"ALTEO-PKxD08", "Jeff-Gardner", "2004-01-23", "2005-10-21", "7"
"ALTEO-PKxD08", "Sharilyn-Gasaway", "2006-01-20", "2008-05-15", "8"
"ALTR-OxL15", "Wayne-Wisehart", "2004-02-12", "2005-05-04", "6"
"ALTR-OxL15", "Jim-Callas", "2006-11-06", "2009-10-13", "3"
"ALTR-OxL15", "Nate-Sarkisian", "2004-01-26", "2006-07-24", "11"
"ALTR-OxL15", "Ronald-Pasek", "2010-01-26", "2013-10-22", "16"
"ALXN-OQ", "Tim-Morris", "2007-02-13", "2009-04-21", "10"
"AMAG-OQ", "Vikas-Sinha", "2006-08-08", "2015-10-29", "38"
"AMAG-OQ", "David-Arkowitz", "2007-07-25", "2011-05-03", "12"
"AMAT-OQ", "Ted-English", "2011-07-26", "2011-07-26", "1"
"AMAT-OQ", "Bob-Halliday", "2013-05-16", "2015-11-12", "11"
"AMAT-OQ", "Douglas-McCutcheon", "2004-04-07", "2004-07-08", "2"
"AMAT-OQ", "George-Davis", "2006-11-15", "2013-02-13", "26"
"AMAT-OQ", "Joe-Bronson", "2004-02-18", "2004-08-17", "3"
"AMAT-OQ", "Larry-Firestone", "2004-01-21", "2006-01-27", "9"
"AMBC-OQ", "Nancy-Handel", "2004-11-17", "2006-08-15", "8"
"AMBC-OQ", "David--Trick", "2013-11-14", "2013-11-14", "1"
"AMBC-OQ", "Sean-Leonard", "2005-07-20", "2009-11-04", "18"
"AMCC-OxA17", "Tom-Gandolfo", "2004-01-28", "2005-04-20", "6"
"AMCC-OxA17", "Bob-Gargus", "2005-10-26", "2013-04-25", "40"
"AMCC-OxA17", "Jeff-Blazevich", "2005-04-28", "2005-04-28", "1"
"AMCC-OxA17", "Shiva-Natarajan", "2013-07-24", "2013-10-24", "2"
"AMCX-OQ", "Steve-Smith", "2004-01-20", "2004-10-19", "7"
"AMD-OQ", "Sean-Sullivan", "2011-08-11", "2015-11-05", "18"
"AMD-OQ", "Bob-Rivet", "2004-01-20", "2009-07-21", "23"
"AMD-OQ", "Devinder-Kumar", "2012-10-18", "2015-10-15", "13"
"AME-N", "Thomas-Seifert", "2009-12-09", "2012-07-19", "11"
"AME-N", "Bob-Mandos", "2012-07-24", "2015-10-27", "13"
"AMED-OQ", "John-Molinelli", "2004-01-28", "2012-01-26", "31"
"AMED-OQ", "Dale-Redman", "2007-05-01", "2015-03-04", "24"
"AMED-OQ", "Greg-Browne", "2004-08-03", "2006-05-02", "8"
"AMED-OQ", "John-Giblin", "2007-02-20", "2007-02-20", "1"
"AMG-N", "Ronnie-LaBorde", "2012-02-28", "2015-11-05", "9"
"AMG-N", "Darrell-Crate", "2004-01-28", "2011-02-01", "29"
"AMGN-OQ", "Jay-Horgen", "2011-04-26", "2015-11-09", "18"
"AMGN-OQ", "David-Meline", "2014-10-27", "2015-10-28", "4"
"AMGN-OQ", "Greg-Schafer", "2006-08-08", "2008-11-06", "10"
"AMGN-OQ", "John-Peacock", "2011-01-24", "2013-04-23", "10"
"AMGN-OQ", "Matt-Fust", "2009-02-23", "2013-08-08", "19"
"AMGN-OQ", "Michael-Kelly", "2010-07-29", "2014-04-22", "3"
"AMGN-OQ", "Richard-Nanula", "2004-04-22", "2007-01-25", "11"
"AMGN-OQ", "Robert-Bradway", "2007-04-23", "2010-04-21", "11"
"AMGN-OQ", "Ward-Wolff", "2004-10-26", "2006-02-21", "6"
"AMGTB-PKxH13", "William-J-Rieflin", "2004-01-29", "2004-04-22", "2"
"AMGTB-PKxH13", "Bob-Ryder", "2004-03-31", "2004-12-23", "4"
"AMGTB-PKxH13", "Mike-Merriman", "2005-09-29", "2006-09-28", "5"
"AMN-N", "Steve-Smith", "2006-12-21", "2013-07-10", "26"
"AMN-N", "Barry-Bailey", "2009-10-29", "2010-11-04", "5"
"AMN-N", "Brian-Scott", "2011-03-08", "2015-11-05", "19"
"AMN-N", "David-Dreyer", "2004-11-05", "2009-08-06", "20"
"AMP-N", "Don-Myll", "2004-02-26", "2004-07-29", "3"
"AMPH-OQ", "Walter-Berman", "2005-10-24", "2015-10-22", "40"
"AMRI-OQ", "Bill-Peters", "2014-08-12", "2015-11-12", "6"
"AMRI-OQ", "David-Waldek", "2004-02-10", "2004-11-08", "4"
"AMRI-OQ", "Felicia-Ladin", "2015-11-05", "2015-11-05", "1"
"AMRI-OQ", "Mark-Frost", "2005-03-03", "2012-08-01", "28"
"AMSF-OQ", "Michael-Nolan", "2012-11-06", "2015-02-12", "7"
"AMSF-OQ", "Geoff-Banta", "2006-02-28", "2008-05-02", "5"
"AMSF-OQ", "Geoffrey-Banta", "2008-08-07", "2008-08-07", "1"
"AMSF-OQ", "Janelle-Frost", "2008-11-07", "2013-05-02", "18"
"AMSF-OQ", "Mike-Grasher", "2013-11-01", "2015-04-30", "6"
"AMSG-OxL16", "Neal-Fuller", "2015-10-29", "2015-10-29", "1"
"AMSWA-OQ", "Claire-Gulmi", "2004-02-24", "2015-11-03", "51"
"AMT-N", "Vince-Klinges", "2013-12-03", "2013-12-03", "1"
"AMT-N", "Brad-Singer", "2004-02-18", "2008-05-02", "18"
"AMT-N", "David-P-Tomick", "2004-04-22", "2004-04-22", "1"
"AMT-N", "Jean-Bua", "2008-07-30", "2009-02-26", "2"
"AMT-N", "Mark-Slaven", "2004-11-04", "2005-07-28", "4"
"AMT-N", "Steven-Lilly", "2004-07-29", "2004-07-29", "1"
"AMTD-OQ", "Tom-Bartlett", "2009-04-29", "2015-10-30", "26"
"AMTD-OQ", "Bill-Gerber", "2006-10-24", "2013-10-29", "29"
"AMTG-KxI16", "Randy-MacDonald", "2004-01-20", "2006-07-18", "11"
"AMTG-KxI16", "Stuart-Rothstein", "2012-03-07", "2013-11-07", "4"
"AMWD-OQ", "Teresa-Covello", "2014-02-20", "2015-08-06", "6"
"AMWD-OQ", "Jake-Gosa", "2005-08-24", "2005-08-24", "1"
"AMWD-OQ", "John-Wolk", "2005-02-23", "2013-06-04", "32"
"AMWD-OQ", "Kent-Guichard", "2004-02-24", "2004-06-09", "2"
"AMZN-OQ", "Scott-Culbreth", "2014-06-03", "2015-11-24", "7"
"AMZN-OQ", "Brian-Olsavsky", "2015-04-23", "2015-10-22", "3"
"AN-N", "Tom-Szkutak", "2004-01-27", "2015-04-23", "46"
"AN-N", "Alex-McAllister", "2006-10-26", "2006-10-26", "1"
"AN-N", "Cheryl-Scully", "2014-01-30", "2015-10-28", "8"
"AN-N", "Craig-Monaghan", "2004-02-05", "2006-07-27", "10"
"ANDE-OQ", "Mike-Short", "2007-02-07", "2013-10-24", "26"
"ANDE-OQ", "Gary-Smith", "2009-02-06", "2009-02-06", "1"
"ANF-N", "John-Granato", "2012-05-08", "2015-11-05", "14"
"ANF-N", "Joanne-Crevoiserat", "2014-08-28", "2015-11-20", "6"
"ANF-N", "Jonathan-Ramsden", "2009-02-13", "2014-02-26", "20"
"ANF-N", "Mike-Kramer", "2005-08-16", "2008-08-15", "12"
"ANGO-OQ", "Sue-Riley", "2004-05-11", "2005-02-15", "4"
"ANGO-OQ", "Joe-Gersuk", "2007-07-24", "2012-10-08", "22"
"ANGO-OQ", "Joseph-Gerardi", "2005-07-22", "2007-03-27", "8"
"ANIK-OQ", "Mark-Frost", "2013-01-03", "2015-10-08", "13"
"ANIK-OQ", "Bill-Knight", "2004-02-27", "2004-08-06", "3"
"ANIK-OQ", "Kevin-Quinlan", "2005-07-28", "2013-02-28", "30"
"ANIP-OQ", "Sylvia-Cheung", "2013-02-28", "2015-10-29", "11"
"ANLY-OQxJ13", "Charlotte-Arnold", "2014-11-03", "2014-11-03", "1"
"ANLY-OQxJ13", "Bill-Wolff", "2012-05-04", "2012-05-04", "1"
"ANLY-OQxJ13", "Dave-Steichen", "2008-03-04", "2008-03-04", "1"
"ANLY-OQxJ13", "Lynn-Blake", "2012-08-03", "2013-05-10", "3"
"ANNxH15", "Randy-Strobel", "2008-10-29", "2011-02-25", "4"
"ANNxH15", "James-Smith", "2004-03-09", "2007-08-24", "15"
"ANRZQ-PKxG16", "Mike-Nicholson", "2007-11-16", "2013-11-22", "25"
"ANRZQ-PKxG16", "David-Stuebe", "2005-03-16", "2008-07-29", "10"
"ANSS-OQ", "Frank-Wood", "2009-11-03", "2013-10-31", "16"
"ANSS-OQ", "Maria--Shields", "2015-02-26", "2015-02-26", "1"
"ANSS-OQ", "Maria-Shields", "2004-02-12", "2015-11-05", "45"
"ANSS-OQ", "Shane-Emswiler", "2008-02-14", "2008-02-14", "1"
"ANSS-OQ", "Thomas-Miller", "2004-05-27", "2007-11-14", "15"
"ANT-NxF06", "Tony-Ryan", "2004-02-18", "2004-02-18", "1"
